state,killed,id,injured,KilledOrInjured,date
Texas,0,48,7,7,16 February 2021
Illinois,1,17,4,5,17 February 2021
Wisconsin,6,55,0,6,18 February 2021
Colorado,0,8,5,5,19 February 2021
Missouri,1,29,4,5,20 February 2021
California,1,6,5,6,21 February 2021
Maine,3,23,1,4,22 February 2021
Indiana,4,18,0,4,23 February 2021
Texas,1,48,3,4,24 February 2021
Hawaii,0,15,0,0,25 February 2021
Missouri,3,29,2,5,26 February 2021
Montana,0,30,0,0,27 February 2021
New Hampshire,0,33,0,0,28 February 2021
North Dakota,0,38,0,0,01 March 2021
Ohio,0,39,4,4,02 March 2021
Rhode Island,0,44,0,0,03 March 2021
Vermont,0,50,0,0,04 March 2021
West Virginia,0,54,7,7,05 March 2021
Wyoming,0,56,0,0,06 March 2021
Colorado,0,8,5,5,07 March 2021
Illinois,0,17,5,5,08 March 2021
Utah,4,49,1,5,09 March 2021
Texas,2,48,2,4,10 March 2021
Missouri,2,29,15,17,11 March 2021
Tennessee,1,47,4,5,12 March 2021
Texas,2,48,5,7,13 March 2021
New York,0,36,4,4,14 March 2021
Washington,1,53,7,8,15 March 2021
North Carolina,5,37,0,5,16 March 2021
Missouri,0,29,5,5,17 March 2021
New York,3,36,1,4,18 March 2021
North Carolina,0,37,6,6,19 March 2021
South Carolina,3,45,3,6,20 March 2021
Connecticut,0,9,4,4,21 March 2021
California,0,6,4,4,22 March 2021
California,1,6,4,5,23 March 2021
Florida,1,12,3,4,24 March 2021
Louisiana,0,22,4,4,25 March 2021
Florida,1,12,3,4,26 March 2021
Georgia,0,13,4,4,27 March 2021
Mississippi,2,27,2,4,28 March 2021
California,0,6,4,4,29 March 2021
Louisiana,0,22,4,4,30 March 2021
Delaware,0,10,5,5,31 March 2021
New York,0,36,6,6,01 April 2021
Florida,2,12,2,4,02 April 2021
Illinois,1,17,3,4,03 April 2021
Illinois,1,17,4,5,04 April 2021
Louisiana,1,22,7,8,05 April 2021
Michigan,0,26,5,5,06 April 2021
Mississippi,2,27,4,6,07 April 2021
New York,1,36,3,4,08 April 2021
Kentucky,1,21,3,4,09 April 2021
New York,0,36,6,6,10 April 2021
Washington,0,53,6,6,11 April 2021
Missouri,0,29,5,5,12 April 2021
North Carolina,0,37,8,8,13 April 2021
Louisiana,1,22,3,4,14 April 2021
New York,1,36,5,6,15 April 2021
Tennessee,0,47,5,5,16 April 2021
Florida,0,12,4,4,17 April 2021
Ohio,0,39,4,4,18 April 2021
Illinois,1,17,4,5,19 April 2021
District of Columbia,1,11,8,9,20 April 2021
Illinois,2,17,3,5,21 April 2021
Illinois,0,17,13,13,22 April 2021
